Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16
34.37;98.47;8.98;1093;103;1059;78;5.8;2.02;2681;22.86;14.93;22.13;35.73;16.54;13.14;0.59
44.58;96.21;8.55;1317;243;722;27;9.78;2.92;1640;39.49;23.22;15.08;30.3;22.17;14.09;0.34
40.81;98.04;8.53;1838;138;614;706;8.22;3.27;4517;37.46;20.54;9.54;29.01;21;10.72;1.01
37.41;98.63;8.47;392;117;464;41;8.56;2.73;850;26.71;18.54;14.14;35.03;16.05;15.28;0.9
56.2;97.09;9.19;924;263;430;418;19.76;10.08;1627;45.38;27.43;26.62;33.93;31.09;20.15;0.59
58.16;99.49;11.02;2253;138;248;284;27.56;13.06;3085;60.65;33.4;24.51;30.22;40.22;10.3;0.55
34.99;97.42;7.28;458;16;389;13;5;2.98;577;27.31;17.61;11.87;31.04;15.4;14.76;0.83
37.32;98.15;8.15;598;162;1001;32;9.1;3.49;1804;26.67;17.08;9.83;31.71;17.59;9.22;0.35
39.47;98.55;8.14;5512;807;2592;647;10.42;4.7;18571;37.02;19.83;11.46;28.07;18.02;10.97;0.49
33.3;96.01;7.27;5910;1192;812;535;6.32;3.16;14490;30.73;17.68;8.99;25.72;14.37;10.95;0.48
33.19;94.45;7.34;5769;691;1039;822;7.77;4.01;15264;31.17;18.22;10.85;25.72;15.91;10.45;0.89
28.63;95.1;7.05;1302;125;391;112;7.45;3.08;2003;24.17;14.08;8.79;26.61;13.77;7.33;0.38
37;98.72;7.99;1022;198;521;28;10.35;4.19;1878;31.37;17.97;10.71;30.58;17.05;13.71;0.74
33.86;99.32;8.29;777;61;574;23;7.92;4.37;1287;29.35;16.93;12.14;33.03;18.95;8.92;0.97
46.01;99;9.36;837;192;486;61;19.9;7.06;1361;42.14;26.24;16.36;33.41;28.3;12.99;1.03
42.86;96.03;8.62;147;40;298;51;13.23;3.14;275;36.4;22.43;21.68;35.8;25.69;12.67;0.04
41.97;98.31;7.78;457;64;332;26;14.47;4.64;593;28.86;16.59;15.66;30.43;16.5;14.53;0.28
54.76;98.84;9.79;499;67;372;45;28.47;12.73;776;48.35;28.23;27.54;37.32;36.34;14.71;1.24
30.59;97.98;7.79;1255;248;683;151;5.8;2.02;3844;22.45;12.84;7.44;25.72;8.74;9.18;0.11
33.52;99.27;9.38;566;15;816;227;6.88;3.12;655;24.42;17.18;6.81;37.65;11.82;13.37;0.16
31.33;98.82;8.61;330;19;652;97;9.4;2.69;655;18.8;13.65;9.2;36.23;8.47;8.14;0.28
33.64;90.71;6.9;908;82;1082;144;1.61;0.81;2791;22.64;13.78;7.71;31.87;11.8;12.56;0.58
29.83;93.32;7.15;1370;232;1015;465;3.86;1.56;3417;17.88;12.9;7.64;33.22;10.13;7.88;0.18
19.9;79.21;6.27;348;19;335;179;4.73;2.46;735;16.51;10.39;6.16;18.59;8.33;3.21;0.12
28.25;98.13;7.15;213;13;275;97;4.67;2.16;388;27.45;17.27;11.37;32.16;11.56;4.84;0.37
38.71;98.86;8.76;1404;194;666;38;10.45;4.05;3140;32.16;20.13;13.62;34.26;19.38;10.56;0.37
32.92;92.94;7.31;314;98;582;121;1.73;2.35;603;19.5;14.23;6.4;31.66;9.31;12.36;0.11
38.82;92.31;7.95;2190;542;1902;316;5.88;3.48;4923;30.35;20.54;11.5;31.92;16.06;13.61;0.44
31.55;97.46;8.29;919;100;866;122;2.29;1.38;1314;24.88;17.09;8.82;32.29;15.01;10.75;0.29
34.37;95.94;8.46;731;64;1075;99;7.44;3.32;1358;26.17;17.26;9.78;38.33;12.88;12.18;0.47
40.2;99.76;9.14;851;16;664;30;19.48;4.71;1436;35.44;20.22;20.17;32.96;21.63;9.54;0.41
38.57;99.86;8.72;1554;232;550;87;4.99;4.11;2810;29.63;21.78;11.83;34.8;18.32;13.26;1.07
36.06;99.11;7.99;1704;318;559;56;11.86;2.81;4008;25.65;15.46;12.99;32.36;15.27;10.87;0.52
35.73;99.24;9.25;3633;193;1330;162;10.04;3.45;7032;27.63;18.85;14.56;35.66;15.96;9.97;0.37
